App,id,Category,Rating,Size,Installs,type,Content,Android,inapp,loc,contac_r,contact_w,media_r,media_w,storage_R,storage_w,cam,ad,label
Book store,45,BOOKS_AND_REFERENCE,4.4,5.4,"1,000,000+",0,Teen,4.0 and up,0,0,0,0,0,0,0,0,0,1,1
FBReader: Favorite Book Reader,46,BOOKS_AND_REFERENCE,4.5,23,"10,000,000+",0,Everyone,4,0,0,0,0,1,1,1,1,0,1,1
English Grammar Complete Handbook,47,BOOKS_AND_REFERENCE,4.6,2.8,"500,000+",0,Everyone,4.0 and up,0,0,0,0,0,0,0,0,0,1,1
Free Books - Spirit Fanfiction and Stories,48,BOOKS_AND_REFERENCE,4.8,5,"1,000,000+",0,Teen,4.0.3 and up,0,0,0,0,1,1,1,1,0,1,1
Google Play Books,49,BOOKS_AND_REFERENCE,3.9,23,"1,000,000,000+",0,Teen,4,0,0,1,0,1,1,1,1,0,0,1
Offline English Dictionary,50,BOOKS_AND_REFERENCE,4.2,13,"100,000+",0,Everyone,4.0.3 and up,0,0,0,0,1,1,1,1,0,1,1
Oxford Dictionary of English : Free,51,BOOKS_AND_REFERENCE,4.1,7.1,"10,000,000+",0,Everyone,4.1 and up,1,0,0,0,1,1,1,1,0,1,1
Offline: English to Tagalog Dictionary,52,BOOKS_AND_REFERENCE,4.7,6.7,"500,000+",0,Everyone,4.0.3 and up,0,0,0,0,1,1,1,1,0,1,1
Spanish English Translator,53,BOOKS_AND_REFERENCE,4.2,18,"10,000,000+",0,Teen,4,0,0,0,0,0,0,0,0,0,1,1
FamilySearch Tree,54,BOOKS_AND_REFERENCE,4.3,17,"1,000,000+",0,Everyone,4.1 and up,0,1,0,0,1,1,1,1,0,0,1
ReadEra – free ebook reader,55,BOOKS_AND_REFERENCE,4.8,21,"1,000,000+",0,Everyone,4.1 and up,0,0,0,0,1,1,1,1,0,0,1
Ebook Reader,56,BOOKS_AND_REFERENCE,4.1,37,"5,000,000+",0,Everyone,4.0 and up,1,0,0,0,1,1,1,1,0,0,1
Litnet - E-books,57,BOOKS_AND_REFERENCE,4.6,15,"100,000+",0,Teen,4.0 and up,0,0,0,0,1,1,1,1,0,1,1
Read books online,58,BOOKS_AND_REFERENCE,4.1,23,"5,000,000+",0,Mature 17+,4.1 and up,1,0,1,0,1,1,1,1,0,0,1
English to Urdu Dictionary,59,BOOKS_AND_REFERENCE,4.6,19,"500,000+",0,Everyone,4.0.3 and up,0,0,0,0,1,1,1,1,0,1,1
eBoox: book reader fb2 epub zip,60,BOOKS_AND_REFERENCE,4.7,23,"1,000,000+",0,Everyone,3.0 and up,1,0,1,0,1,1,1,1,0,0,1
English Persian Dictionary,61,BOOKS_AND_REFERENCE,4.5,73,"500,000+",0,Everyone,4.0.3 and up,0,1,0,0,1,1,1,1,1,1,1
Flybook,62,BOOKS_AND_REFERENCE,3.9,4.9,"500,000+",0,Mature 17+,2.1 and up,0,0,1,0,1,1,1,1,1,0,1
All Maths Formulas,63,BOOKS_AND_REFERENCE,4.4,6.8,"1,000,000+",0,Everyone,4.4 and up,0,0,0,0,1,1,1,1,0,1,1
Ancestry,64,BOOKS_AND_REFERENCE,4.3,15,"5,000,000+",0,Everyone,4,1,1,0,0,1,1,1,1,0,1,1
English translation from Bengali,65,BOOKS_AND_REFERENCE,4.5,2.9,"100,000+",0,Everyone,4.0 and up,0,0,0,0,1,1,1,1,0,1,1
Free Book Reader,66,BOOKS_AND_REFERENCE,3.4,4,"100,000+",0,Everyone,4.0.3 and up,1,1,0,0,1,1,1,1,0,1,1
eBoox new: Reader for fb2 epub zip books,67,BOOKS_AND_REFERENCE,4.9,21,"50,000+",0,Everyone,3.0 and up,1,0,1,0,1,1,1,1,0,0,1
Moon+ Reader,68,BOOKS_AND_REFERENCE,4.4,18,"10,000,000+",0,Everyone,4,1,0,1,0,1,1,1,1,0,0,1
English-Myanmar Dictionary,69,BOOKS_AND_REFERENCE,4.4,10,"1,000,000+",0,Everyone,4.0 and up,0,0,0,0,1,1,1,1,0,1,1
Golden Dictionary (EN-AR),70,BOOKS_AND_REFERENCE,4.4,6.1,"1,000,000+",0,Everyone,4.2 and up,0,0,0,0,0,0,0,0,0,1,1
All Language Translator Free,71,BOOKS_AND_REFERENCE,4.4,2.1,"1,000,000+",0,Everyone,4.0.3 and up,0,0,0,0,0,0,0,0,0,1,1
Azpen eReader,72,BOOKS_AND_REFERENCE,3.5,42,"500,000+",0,Everyone,2.2 and up,0,0,1,0,1,1,1,1,0,0,1
English Dictionary - Offline,73,BOOKS_AND_REFERENCE,4.4,30,"10,000,000+",0,Everyone 10+,4.2 and up,0,0,0,0,1,1,1,1,0,0,1
ADP Mobile Solutions,74,BUSINESS,4.3,29,"5,000,000+",0,Everyone,5.0 and up,0,1,1,1,1,1,1,1,1,0,1
OfficeSuite : Free Office + PDF Editor,75,BUSINESS,4.3,35,"100,000,000+",0,Everyone,4.1 and up,1,0,1,0,1,1,1,1,0,1,1
USPS MOBILE®,76,BUSINESS,3.9,9.1,"1,000,000+",0,Everyone,4.0.3 and up,0,1,1,0,0,0,0,0,1,0,1
Google Primer,77,BUSINESS,4.4,18,"10,000,000+",0,Everyone,4.1 and up,0,0,0,0,0,0,0,0,0,0,1
SuperLivePro,78,BUSINESS,4.3,21,"1,000,000+",0,Everyone,1.5 and up,0,0,0,0,1,1,1,1,0,0,1
Polaris Office for LG,79,BUSINESS,4.2,55,"5,000,000+",0,Everyone,4.1 and up,1,0,0,0,1,1,1,1,0,1,1
Call Blocker,80,BUSINESS,4.6,3.2,"5,000,000+",0,Everyone,4.0 and up,1,0,1,0,1,1,1,1,0,1,1
Plugin:AOT v5.0,81,BUSINESS,3.1,23,"100,000+",0,Everyone,2.2 and up,0,0,0,0,1,1,1,1,0,0,1
Kariyer.net,82,BUSINESS,3.9,16,"1,000,000+",0,Everyone,4.1 and up,0,1,0,0,1,1,1,1,1,1,1
ZOOM Cloud Meetings,83,BUSINESS,4.4,37,"10,000,000+",0,Everyone,4.0 and up,0,0,0,0,1,1,1,1,1,0,1
"IndiaMART: Search Products, Buy, Sell & Trade",84,BUSINESS,4.5,11,"5,000,000+",0,Everyone,4.0 and up,0,1,1,1,1,1,1,1,1,0,1
ViettelPost express delivery,85,BUSINESS,4.4,25,"100,000+",0,Everyone,4.1 and up,0,1,1,1,1,1,1,1,1,0,1
MyASUS - Service Center,86,BUSINESS,4.4,7.3,"10,000,000+",0,Everyone,4.2 and up,0,1,0,0,1,1,1,1,1,0,1
Secure Folder,87,BUSINESS,4.7,7.5,"100,000+",0,Everyone,4.0.3 and up,0,0,1,1,1,1,1,1,0,0,1
Fast Scanner : Free PDF Scan,88,BUSINESS,4.7,39,"10,000,000+",0,Everyone,3.0 and up,1,0,0,0,1,1,1,1,1,1,1
Mobile Doc Scanner (MDScan) Lite,89,BUSINESS,4.5,14,"10,000,000+",0,Everyone,4.1 and up,0,1,1,0,1,1,1,1,1,1,1
TurboScan: scan documents and receipts in PDF,90,BUSINESS,4.2,19,"1,000,000+",0,Everyone,4.1 and up,0,0,0,0,1,1,1,1,1,0,1
Tiny Scanner Pro: PDF Doc Scan,91,BUSINESS,4.7,6.8,"100,000+",1,Everyone,4.0 and up,0,0,0,0,1,1,1,1,1,0,1
Box,92,BUSINESS,4.8,39,"100,000+",1,Everyone,3.0 and up,0,0,1,0,1,1,1,1,0,0,1
Zenefits,93,BUSINESS,4.2,22,"10,000,000+",0,Everyone,4,,1,0,0,1,1,1,1,0,0,1
Google Ads,94,BUSINESS,4.2,14,"50,000+",0,Everyone,4.1 and up,0,0,1,0,0,0,0,0,0,0,1
Google My Business,95,BUSINESS,4.3,20,"5,000,000+",0,Everyone,4.0.3 and up,0,0,1,1,0,0,0,0,0,0,1
Slack,96,BUSINESS,4.4,18,"5,000,000+",0,Everyone,4.4 and up,0,0,1,1,1,1,1,1,1,0,1
Insightly CRM,97,BUSINESS,4.1,26,"100,000+",0,Everyone,4.2 and up,0,0,1,1,1,1,1,1,0,0,1
QuickBooks Accounting: Invoicing & Expenses,98,BUSINESS,3.8,51,"100,000+",0,Everyone,5.0 and up,0,1,1,1,1,1,1,1,0,0,1
HipChat - Chat Built for Teams,99,BUSINESS,4.3,41,"1,000,000+",0,Everyone,4.1 and up,0,0,0,0,1,1,1,1,1,0,1
"MailChimp - Email, Marketing Automation",100,BUSINESS,3.8,20,"500,000+",0,Everyone,4.1 and up,0,0,0,0,1,1,1,1,1,0,1
Crew - Free Messaging and Scheduling,101,BUSINESS,4.1,12,"500,000+",0,Everyone,5.0 and up,1,1,1,0,1,1,1,1,0,0,1
Asana: organize team projects,102,BUSINESS,4.6,48,"500,000+",0,Everyone,4.0.3 and up,0,0,1,1,1,1,1,1,0,0,1
Google Analytics,103,BUSINESS,4.3,10,"1,000,000+",0,Everyone,5.0 and up,0,0,1,0,0,0,0,0,0,0,1
AdWords Express,104,BUSINESS,4.5,22,"1,000,000+",0,Everyone,4.4 and up,0,0,1,0,1,1,1,1,0,0,1
Accounting App - Zoho Books,105,BUSINESS,4.1,11,"1,000,000+",0,Everyone,4.0 and up,1,1,1,1,1,1,1,1,1,0,1
Invoice & Time Tracking - Zoho,106,BUSINESS,4.5,8.5,"100,000+",0,Everyone,4.1 and up,1,1,1,1,1,1,1,1,1,0,1
join.me - Simple Meetings,107,BUSINESS,4.6,8.6,"100,000+",0,Everyone,4.1 and up,0,1,1,0,1,1,1,1,1,0,1
Invoice 2go — Professional Invoices and Estimates,108,BUSINESS,4,13,"1,000,000+",0,Everyone,4.4 and up,1,1,1,1,1,1,1,1,1,0,1
Cisco Webex Meetings,109,BUSINESS,4.2,28,"1,000,000+",0,Everyone,4.1 and up,0,0,1,1,1,1,1,1,1,0,1
ZOOM Cloud Meetings,110,BUSINESS,4.4,28,"10,000,000+",0,Everyone,4.3 and up,0,1,1,1,1,1,1,1,1,0,1
Cisco Webex Teams,111,BUSINESS,4,9,"100,000+",0,Everyone,5.0 and up,0,0,1,1,1,1,1,1,1,0,1
Start Meeting,112,BUSINESS,4.2,46,"100,000+",0,Everyone,4.4 and up,0,0,1,1,1,1,1,1,1,0,1
ClickMeeting Webinars,113,BUSINESS,4.1,14,"50,000+",0,Everyone,4.0.3 and up,0,0,0,0,0,0,0,0,1,0,1
BlueJeans for Android,114,BUSINESS,3.8,26,"1,000,000+",0,Everyone,4.0 and up,0,1,1,1,1,1,1,1,1,0,1
Insightly CRM,115,BUSINESS,4.1,26,"100,000+",0,Everyone,4.2 and up,0,0,1,1,1,1,1,1,1,0,1
QuickBooks Accounting: Invoicing & Expenses,116,BUSINESS,3.8,51,"100,000+",0,Everyone,5.0 and up,1,1,1,1,1,1,1,1,1,0,1
HipChat - Chat Built for Teams,117,BUSINESS,4.3,41,"1,000,000+",0,Everyone,4.1 and up,0,0,1,1,1,1,1,1,1,0,1
"MailChimp - Email, Marketing Automation",118,BUSINESS,3.8,20,"500,000+",0,Everyone,4.1 and up,0,0,0,0,1,1,1,1,1,0,1
Crew - Free Messaging and Scheduling,119,BUSINESS,4.1,12,"500,000+",0,Everyone,5.0 and up,1,1,1,0,1,1,1,1,1,0,1
Asana: organize team projects,120,BUSINESS,4.6,48,"500,000+",0,Everyone,4.0.3 and up,0,0,1,1,1,1,1,1,0,0,1
Google Analytics,121,BUSINESS,4.3,10,"1,000,000+",0,Everyone,5.0 and up,0,0,1,0,0,0,0,0,0,0,1
AdWords Express,122,BUSINESS,4.5,22,"1,000,000+",0,Everyone,4.4 and up,0,0,1,0,1,1,1,1,0,0,1
Accounting App - Zoho Books,123,BUSINESS,4.1,11,"1,000,000+",0,Everyone,4.0 and up,1,1,1,1,1,1,1,1,1,0,1
Tiny Scanner - PDF Scanner App,124,BUSINESS,4.2,28,"1,000,000+",0,Everyone,4.1 and up,1,0,0,0,1,1,1,1,1,1,1
Fast Scanner : Free PDF Scan,125,BUSINESS,4.7,39,"10,000,000+",0,Everyone,3.0 and up,1,0,0,0,1,1,1,1,1,1,1
Mobile Doc Scanner (MDScan) Lite,126,BUSINESS,4.5,14,"10,000,000+",0,Everyone,4.1 and up,0,1,1,0,1,1,1,1,1,0,1
TurboScan: scan documents and receipts in PDF,127,BUSINESS,4.2,19,"1,000,000+",0,Everyone,4.1 and up,0,0,0,0,1,1,1,1,1,0,1
WhatsApp Messenger,128,COMMUNICATION,4,40,"1,000,000,000+",0,Everyone,4,0,1,1,1,1,1,1,1,1,0,1
Messenger for SMS,129,COMMUNICATION,4.4,27,"1,000,000,000+",0,Everyone,4,0,1,1,1,1,1,1,1,1,1,1
Google Chrome: Fast & Secure,130,COMMUNICATION,4.3,17,"10,000,000+",0,Teen,4.1 and up,0,1,1,1,1,1,1,1,1,0,1
Messenger Lite: Free Calls & Messages,131,COMMUNICATION,4.3,33,"1,000,000,000+",0,Everyone,4.1,0,0,1,1,1,1,1,1,1,0,1
Gmail,132,COMMUNICATION,4.4,23,"100,000,000+",0,Everyone,2.3 and up,0,0,1,1,1,1,1,1,1,1,1
Hangouts,133,COMMUNICATION,4.3,22,"1,000,000,000+",0,Everyone,4,0,1,1,1,1,1,1,1,1,0,1
Firefox Browser fast & private,134,COMMUNICATION,4.3,8.8,"5,000,000+",0,Everyone,4.4 and up,0,1,1,0,1,1,1,1,1,0,1
Yahoo Mail – Stay Organized,135,COMMUNICATION,4.4,52,"100,000,000+",0,Everyone,4.1,1,1,1,1,1,1,1,1,1,1,1
imo free video calls and chat,136,COMMUNICATION,4.3,11,"100,000,000+",0,Everyone,4.0 and up,1,1,1,1,1,1,1,1,1,1,1
Call Free – Free Call,137,COMMUNICATION,4.3,22,"50,000,000+",0,Everyone,5.0 and up,1,1,1,1,1,1,1,1,1,1,1
Web Browser & Explorer,138,COMMUNICATION,4.3,15,"5,000,000+",0,Everyone,4.1 and up,0,1,0,0,1,1,1,1,1,1,1
Opera Mini - fast web browser,139,COMMUNICATION,4,6.6,"5,000,000+",0,Everyone,4.0.3,0,1,1,0,1,1,1,1,1,1,1
Xperia Link™,140,COMMUNICATION,4.4,23,"5,000,000+",0,Everyone,4,0,1,1,1,1,1,1,1,1,0,1
TouchPal Keyboard - Fun Emoji & Android Keyboard,141,COMMUNICATION,4.1,18,"10,000,000+",0,Everyone,4,1,1,1,1,1,1,1,1,1,1,1
Skype Lite - Free Video Call & Chat,142,COMMUNICATION,4.3,15,"100,000,000+",0,Teen,4,0,1,1,1,1,1,1,1,1,0,1
WeChat,143,COMMUNICATION,4.2,22,"5,000,000+",0,Everyone,4.0.3 and up,1,1,1,1,1,1,1,1,1,0,1
UC Browser Mini -Tiny Fast Private & Secure,144,COMMUNICATION,4.2,18,"100,000,000+",0,Everyone,4,0,1,1,0,1,1,1,1,1,1,1
Telegram,145,COMMUNICATION,4.2,15,"100,000,000+",0,Everyone,4,0,1,1,1,1,1,1,1,1,0,1
Google Duo - High Quality Video Calls,146,COMMUNICATION,4.4,21,"100,000,000+",0,Mature 17+,4,0,1,1,1,1,1,1,1,1,0,1
Microsoft Edge,147,COMMUNICATION,3.7,61,"5,000,000+",0,Everyone,4.3 and up,0,1,1,1,1,1,1,1,1,0,1
Calls & Text by Mo+,148,COMMUNICATION,4.1,25,"10,000,000+",0,Everyone,4.2 and up,1,1,1,1,1,1,1,1,1,1,1
free video calls and chat,149,COMMUNICATION,4.2,14,"5,000,000+",0,Everyone,4.0 and up,0,1,0,0,1,1,1,1,1,1,1
BBM - Free Calls & Messages,150,COMMUNICATION,4.3,8.4,"1,000,000+",0,Everyone,4.0.3 and up,1,1,1,1,1,1,1,1,1,1,1
2ndLine - Second Phone Number,151,COMMUNICATION,4.4,4,"1,000,000+",0,Everyone,5.0 and up,1,1,1,1,1,1,1,1,1,1,1
Google Allo,152,COMMUNICATION,4.2,32,"1,000,000+",0,Everyone,4.0 and up,0,1,1,1,1,1,1,1,1,0,1
Puffin Web Browser,153,COMMUNICATION,4.6,6.1,"50,000,000+",0,Everyone,4.0 and up,0,1,1,1,1,1,1,1,1,1,1
Ghostery Privacy Browser,154,COMMUNICATION,4.5,40,"500,000,000+",0,Teen,4.0 and up,0,1,1,0,1,1,1,1,1,0,1
InBrowser - Incognito Browsing,155,COMMUNICATION,4.1,2.2,"1,000,000+",0,Everyone,4.0.3 and up,0,0,0,0,1,1,1,1,0,0,1
DU Browser—Browse fast & fun,156,COMMUNICATION,4.1,4.3,"1,000,000+",0,Everyone,4.0 and up,0,0,1,0,1,1,1,1,0,0,1
Lightning Web Browser,157,COMMUNICATION,4.3,4.7,"10,000,000+",0,Everyone,4.0 and up,0,1,0,0,1,1,1,1,0,0,1
ExDialer - Dialer & Contacts,158,COMMUNICATION,4.2,11,"10,000,000+",0,Everyone,4.0.3 and up,0,0,0,0,1,1,1,1,0,0,1
Full Screen Caller ID,159,COMMUNICATION,4.4,3.7,"1,000,000+",0,Everyone,4.0 and up,1,0,1,1,1,1,1,1,1,1,1
Hiya - Caller ID & Block,160,COMMUNICATION,4.2,10,"5,000,000+",0,Everyone,4.0.3 and up,1,1,1,1,1,0,1,0,0,0,1
Call Blocker,161,COMMUNICATION,4.4,13,"10,000,000+",0,Mature 17+,5.0 and up,1,0,1,0,1,1,1,1,0,1,1
Mr. Number-Block calls & spam,162,COMMUNICATION,4.1,10,"1,000,000+",0,Everyone,4.0.3 and up,1,1,1,1,1,0,1,0,0,0,1
Should I Answer?,163,COMMUNICATION,4.2,13,"10,000,000+",0,Mature 17+,5.0 and up,0,0,1,0,0,0,0,0,0,0,1
Whoscall - Caller ID & Block,164,COMMUNICATION,4.4,20,"10,000,000+",0,Everyone,4.1 and up,1,1,1,1,1,1,1,1,0,1,1
CIA - Caller ID & Call Blocker,165,COMMUNICATION,4.4,29,"10,000,000+",0,Everyone,4.1 and up,1,1,1,1,1,1,1,1,1,0,1
True Contact - Real Caller ID,166,COMMUNICATION,4.4,11,"5,000,000+",0,Everyone,4.1 and up,1,1,1,1,1,1,1,1,0,1,1
Sync.ME – Caller ID & Block,167,COMMUNICATION,4.2,17,"1,000,000+",0,Everyone,4.0.3 and up,1,0,1,1,1,1,1,1,1,1,1
K-9 Mail,168,COMMUNICATION,4.3,16,"100,000,000+",0,Everyone,4.4 and up,0,0,1,1,1,1,1,1,0,0,1
"myMail – Email for Hotmail, Gmail and Outlook Mail",169,COMMUNICATION,4.2,5.1,"5,000,000+",0,Everyone,4.0.3 and up,0,0,1,1,1,1,1,1,0,0,1
All Email Providers,170,COMMUNICATION,4.6,44,"1,000,000+",0,Everyone,4.1 and up,0,1,0,0,1,1,1,1,0,1,1
"Newton Mail - Email App for Gmail, Outlook, IMAP",171,COMMUNICATION,4.1,7.3,"1,000,000+",0,Everyone,4.1 and up,1,1,1,1,1,1,1,1,0,0,1
Ai La Trieu Phu - ALTP Free,172,EDUCATION,4.7,3.3,"10,000,000+",0,Everyone,4.0 and up,1,0,0,0,0,0,0,0,0,0,1
Learn Spanish - Español,173,EDUCATION,4.5,39,"5,000,000+",0,Everyone,4.0 and up,0,0,0,0,1,1,1,1,0,0,1
English Grammar Test,174,EDUCATION,4.7,3.2,"1,000,000+",0,Everyone,4.0 and up,0,0,0,0,1,1,1,1,0,1,1
Speed Reading,175,EDUCATION,4.8,5.1,"500,000+",0,Everyone,4.0.3 and up,1,0,0,0,1,1,1,1,0,1,1
English for beginners,176,EDUCATION,4.6,11,"500,000+",0,Everyone,4.0 and up,1,0,0,0,1,1,1,1,0,1,1
Mermaids,177,EDUCATION,4.6,37,"1,000,000+",0,Everyone,4.1 and up,1,0,0,0,1,1,1,1,0,1,1
Kids Mode,178,EDUCATION,4.9,26,"1,000,000+",0,Everyone,4.2 and up,0,0,0,0,0,0,0,0,0,1,1
Cars Coloring Pages,179,EDUCATION,4.4,41,"500,000+",0,Everyone,4.0 and up,1,0,0,0,1,1,1,1,0,1,1
Babbel – Learn Languages,180,EDUCATION,4.4,49,"1,000,000+",0,Everyone,4.0 and up,1,0,1,0,1,0,1,0,0,0,1
Math Tricks,181,EDUCATION,4.3,21,"10,000,000+",0,Everyone,4.4 and up,1,0,0,0,0,0,0,0,0,1,1
Learn English Words Free,182,EDUCATION,4.4,51,"1,000,000+",0,Everyone,2.3 and up,0,1,0,0,1,1,1,1,0,0,1
Japanese / English one-shop search dictionary - Free Japanese - English - Japanese dictionary application,183,EDUCATION,4.6,14,"5,000,000+",0,Everyone,4.1 and up,1,0,0,0,1,1,1,1,0,1,1
English speaking texts,184,EDUCATION,3.9,18,"50,000+",0,Mature 17+,5.0 and up,0,0,0,0,0,0,0,0,0,1,1
ABC Preschool Free,185,EDUCATION,4.2,84,"1,000,000+",0,Everyone,4.4 and up,1,1,0,0,1,1,1,1,0,1,1
Lumosity: #1 Brain Games & Cognitive Training App,186,EDUCATION,4.3,3.9,"100,000+",0,Everyone,4.1 and up,1,1,1,0,1,1,1,1,0,0,1
